,lang,freq
0,react,469
1,javascript,368
2,css,269
3,html,231
4,typescript,174
5,vue,167
6,git,157
7,api,144
8,angular,86
9,redux,85
10,java,75
11,restful,68
12,framework,66
13,restful api,66
14,spa,64
15,spring,60
16,html5,57
17,react native,56
18,github,54
19,web,53
20,ui ux,51
21,javascript typescript,50
22,rest,49
23,react js,49
24,es6,46
25,http,41
26,rest api,38
27,javascript react,37
28,aws,34
29,css3,33
30,typescript react,33
31,vue angular,33
32,next,32
33,webpack,32
34,mysql,31
35,html5 css3,31
36,java spring,31
37,es6+,30
38,jquery,29
39,react react,29
40,react typescript,29
41,next js,27
42,frontend,25
43,node js,25
44,git github,24
45,javascript es6+,24
46,flutter,23
47,react redux,23
48,boot,22
49,js react,22
50,javascript es6,22
51,spring boot,22
